epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.469693,0.71155,3.54321,1.04503,0.00333,1,0.995,0.995,0.09867,3.02579,0.86789,0,0,0
2,0.870551,3.59331,4.98222,3.49943,0.00333,1,0.995,0.995,0.10359,3.02882,0.8673,1.802e-05,1.802e-05,1.802e-05
3,1.24404,0.50073,3.32346,1.10443,0.00333,1,0.995,0.995,0.10802,3.02429,0.86794,3.208e-05,3.208e-05,3.208e-05
4,1.6043,0.63763,3.081,0.98495,0.00333,1,0.995,0.995,0.11548,3.03985,0.91047,4.218e-05,4.218e-05,4.218e-05
5,1.98437,0.32855,2.89574,0.91851,0.00333,1,0.995,0.995,0.1108,3.04722,0.90958,4.832e-05,4.832e-05,4.832e-05
6,2.39688,0.34804,2.86681,0.94218,0.00333,1,0.995,0.995,0.10614,3.04926,0.89503,5.05e-05,5.05e-05,5.05e-05
7,2.81853,0.74222,2.89758,0.86279,0.00333,1,0.995,0.995,0.1078,3.04551,0.90066,4.872e-05,4.872e-05,4.872e-05
8,3.20025,0.41335,2.82102,0.79743,0.00333,1,0.995,0.995,0.10703,3.04038,0.89909,4.298e-05,4.298e-05,4.298e-05
9,3.55868,0.53482,2.82476,0.7446,0.00333,1,0.995,0.995,0.10354,3.03073,0.89876,3.328e-05,3.328e-05,3.328e-05
10,3.90584,0.38537,2.91689,0.64679,0.00333,1,0.995,0.995,0.1069,3.03265,0.89058,1.962e-05,1.962e-05,1.962e-05
